0,state,lat,long,country
1,AK,70.0187,-141.0205,US
2,AK,70.1292,-141.7291,US
3,AK,70.4515,-144.8163,US
4,AK,70.7471,-148.4583,US
5,AK,70.7923,-151.1609,US
6,AK,71.147,-152.6221,US
7,AK,71.1185,-153.9954,US
8,AK,71.4307,-154.8853,US
9,AK,71.5232,-156.7529,US
10,AK,71.2796,-157.9449,US
11,AK,71.2249,-159.6313,US
12,AK,70.6363,-161.8671,US
13,AK,70.0843,-163.5809,US
14,AK,69.3028,-165.2399,US
15,AK,69.1782,-166.8768,US
16,AK,68.3344,-168.0414,US
17,AK,67.6844,-165.9155,US
18,AK,67.2933,-164.6082,US
19,AK,66.7789,-164.0149,US
20,AK,66.581,-165.7507,US
21,AK,66.2867,-167.5745,US
22,AK,66.0269,-168.9862,US
23,AK,65.497,-168.9478,US
24,AK,65.042,-167.4756,US
25,AK,64.3922,-167.0142,US
26,AK,64.0554,-165.7343,US
27,AK,64.0193,-163.2294,US
28,AK,63.9615,-162.1143,US
29,AK,63.6877,-163.6029,US
30,AK,63.453,-165.3717,US
31,AK,62.4133,-166.3715,US
32,AK,61.6534,-166.9867,US
33,AK,60.8556,-166.4429,US
34,AK,60.5357,-167.8381,US
35,AK,59.5482,-167.7118,US
36,AK,59.4115,-165.8002,US
37,AK,59.3696,-164.5972,US
38,AK,59.1168,-162.8558,US
39,AK,58.1185,-162.5427,US
40,AK,58.1359,-160.6421,US
41,AK,58.0285,-159.505,US
42,AK,57.6336,-158.8953,US
43,AK,56.909,-159.906,US
44,AK,56.3926,-160.6531,US
45,AK,56.2342,-161.8835,US
46,AK,55.724,-162.9822,US
47,AK,55.2478,-164.3994,US
48,AK,54.7753,-165.3168,US
49,AK,54.1463,-167.1075,US
50,AK,53.5632,-168.5852,US
51,AK,53.1402,-169.9146,US
52,AK,52.5964,-169.5959,US
53,AK,52.9089,-168.2227,US
54,AK,54.2139,-162.7734,US
55,AK,54.6786,-159.1452,US
56,AK,55.6567,-155.4634,US
57,AK,57.351,-152.14,US
58,AK,59.2209,-150.8203,US
59,AK,59.7695,-147.4461,US
60,AK,60.3521,-145.985,US
61,AK,59.8917,-144.1544,US
62,AK,59.8172,-141.6811,US
63,AK,59.5225,-140.5124,US
64,AK,59.0292,-138.8548,US
65,AK,57.9032,-136.8526,US
66,AK,56.9157,-136.0725,US
67,AK,56.1555,-134.9794,US
68,AK,55.3237,-134.0057,US
69,AK,54.6341,-133.6418,US
70,AK,54.7135,-130.6261,US
71,AK,55.2869,-129.993,US
72,AK,55.9869,-130.0108,US
73,AK,56.1057,-130.1083,US
74,AK,56.6086,-131.5887,US
75,AK,57.8404,-132.8755,US
76,AK,58.7276,-133.8423,US
77,AK,59.3108,-134.9121,US
78,AK,59.802,-135.4724,US
79,AK,59.6039,-136.3445,US
80,AK,59.1619,-136.8251,US
81,AK,59.2441,-137.6079,US
82,AK,60.0902,-139.2119,US
83,AK,60.3575,-139.0938,US
84,AK,60.1866,-140.0056,US
85,AK,60.3059,-140.9999,US
86,AK,70.0187,-141.0205,US
87,AL,35.0041,-88.1955,US
88,AL,34.9918,-85.6068,US
89,AL,32.8404,-85.1756,US
90,AL,32.2593,-84.8927,US
91,AL,32.1535,-85.0342,US
92,AL,31.7947,-85.1358,US
93,AL,31.52,-85.0438,US
94,AL,31.3384,-85.0836,US
95,AL,31.2093,-85.107,US
96,AL,31.0023,-84.9944,US
97,AL,30.9953,-87.6009,US
98,AL,30.9423,-87.5926,US
99,AL,30.8539,-87.6256,US
100,AL,30.6745,-87.4072,US
101,AL,30.4404,-87.3688,US
102,AL,30.1463,-87.524,US
103,AL,30.1546,-88.3864,US
104,AL,31.8939,-88.4743,US
105,AL,34.8938,-88.1021,US
106,AL,34.9479,-88.1721,US
107,AL,34.9107,-88.1461,US
108,AR,33.0225,-94.0416,US
109,AR,33.0075,-91.2057,US
110,AR,33.118,-91.1989,US
111,AR,33.1824,-91.1041,US
112,AR,33.3053,-91.1343,US
113,AR,33.4211,-91.1646,US
114,AR,33.4337,-91.2263,US
115,AR,33.5403,-91.2524,US
116,AR,33.6112,-91.1797,US
117,AR,33.6855,-91.2524,US
118,AR,33.6946,-91.1261,US
119,AR,33.7883,-91.1412,US
120,AR,33.77,-91.0451,US
121,AR,33.8328,-91.0341,US
122,AR,33.9399,-91.0863,US
123,AR,34.0208,-90.9256,US
124,AR,34.0856,-90.9036,US
125,AR,34.1345,-90.9586,US
126,AR,34.1675,-90.9132,US
127,AR,34.138,-90.8501,US
128,AR,34.2311,-90.9325,US
129,AR,34.3446,-90.6935,US
130,AR,34.4409,-90.5603,US
131,AR,34.5348,-90.5548,US
132,AR,34.5959,-90.5768,US
133,AR,34.7213,-90.5301,US
134,AR,34.7574,-90.5328,US
